AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,ST,PINCP
36.0,5.0,18.0,1.0,3054.0,12.0,5.0,38.0,1.0,3.0,17.0,48340.0
34.0,1.0,20.0,5.0,1953.0,166.0,2.0,26.0,1.0,3.0,56.0,29464.0
39.0,3.0,22.0,1.0,839.0,81.0,0.0,46.0,2.0,3.0,48.0,70649.0
28.0,1.0,21.0,1.0,8735.0,4.0,0.0,43.0,2.0,3.0,18.0,46118.0
36.0,5.0,17.0,5.0,7531.0,15.0,7.0,61.0,2.0,3.0,54.0,9828.0
41.0,1.0,18.0,3.0,4987.0,25.0,0.0,31.0,1.0,3.0,41.0,1216.0
23.0,2.0,19.0,5.0,7304.0,108.0,0.0,17.0,2.0,3.0,11.0,16883.0
27.0,1.0,18.0,1.0,8968.0,5.0,5.0,25.0,2.0,3.0,8.0,2045.0
62.0,1.0,14.0,2.0,7231.0,4.0,0.0,22.0,2.0,3.0,11.0,59445.0
20.0,1.0,21.0,5.0,480.0,89.0,0.0,22.0,2.0,3.0,56.0,8083.0
23.0,5.0,18.0,1.0,5112.0,54.0,11.0,19.0,1.0,3.0,38.0,25836.0
47.0,5.0,16.0,2.0,2417.0,13.0,0.0,30.0,1.0,3.0,3.0,15479.0
23.0,2.0,16.0,5.0,3515.0,94.0,10.0,39.0,2.0,3.0,46.0,7615.0
40.0,4.0,19.0,1.0,5033.0,24.0,0.0,32.0,2.0,3.0,11.0,15527.0
26.0,1.0,18.0,5.0,6201.0,4.0,0.0,37.0,2.0,3.0,50.0,75891.0
55.0,7.0,22.0,5.0,3405.0,4.0,2.0,46.0,1.0,3.0,22.0,35164.0
62.0,1.0,17.0,3.0,3910.0,42.0,0.0,40.0,1.0,3.0,5.0,18976.0
58.0,1.0,14.0,5.0,4692.0,42.0,9.0,54.0,2.0,3.0,6.0,28412.0
48.0,1.0,13.0,3.0,827.0,116.0,0.0,47.0,2.0,3.0,42.0,14777.0
31.0,1.0,20.0,1.0,9481.0,4.0,0.0,23.0,1.0,3.0,15.0,13206.0
66.0,4.0,21.0,1.0,6624.0,22.0,0.0,59.0,1.0,3.0,53.0,59264.0
24.0,3.0,20.0,3.0,2356.0,34.0,17.0,40.0,1.0,3.0,51.0,19729.0
46.0,1.0,11.0,1.0,6252.0,4.0,8.0,47.0,2.0,3.0,1.0,16638.0
48.0,6.0,17.0,1.0,4690.0,66.0,0.0,44.0,2.0,3.0,30.0,62710.0
37.0,1.0,19.0,2.0,4976.0,235.0,12.0,34.0,1.0,3.0,56.0,10352.0
51.0,1.0,21.0,1.0,1203.0,10.0,0.0,72.0,2.0,3.0,47.0,134220.0
33.0,1.0,17.0,3.0,4685.0,57.0,9.0,25.0,1.0,3.0,45.0,57491.0
34.0,3.0,20.0,5.0,1612.0,41.0,0.0,27.0,1.0,3.0,54.0,62242.0
55.0,1.0,15.0,5.0,6657.0,40.0,0.0,42.0,2.0,3.0,4.0,5837.0
37.0,1.0,19.0,1.0,5718.0,297.0,0.0,36.0,1.0,3.0,46.0,20174.0
27.0,1.0,18.0,5.0,5799.0,124.0,16.0,56.0,1.0,3.0,46.0,26088.0
62.0,1.0,18.0,5.0,2764.0,177.0,0.0,24.0,1.0,3.0,4.0,39305.0
58.0,1.0,17.0,1.0,3251.0,13.0,0.0,47.0,2.0,3.0,49.0,120774.0
37.0,2.0,21.0,1.0,9590.0,35.0,0.0,44.0,1.0,3.0,44.0,21801.0
58.0,1.0,17.0,5.0,453.0,11.0,0.0,40.0,2.0,3.0,13.0,58267.0
29.0,3.0,19.0,1.0,2940.0,66.0,0.0,17.0,2.0,3.0,52.0,10240.0
22.0,1.0,15.0,1.0,5133.0,9.0,0.0,26.0,2.0,3.0,30.0,797.0
37.0,5.0,17.0,5.0,601.0,5.0,0.0,31.0,2.0,3.0,5.0,17781.0
41.0,1.0,19.0,5.0,6012.0,109.0,0.0,36.0,1.0,3.0,40.0,69538.0
31.0,3.0,18.0,5.0,2428.0,4.0,0.0,40.0,1.0,3.0,14.0,27420.0
48.0,1.0,15.0,5.0,6893.0,4.0,0.0,52.0,1.0,3.0,11.0,50619.0
53.0,1.0,18.0,1.0,4454.0,15.0,0.0,70.0,1.0,3.0,56.0,157170.0
60.0,7.0,17.0,1.0,4172.0,8.0,0.0,47.0,2.0,3.0,26.0,74094.0
54.0,1.0,19.0,3.0,4818.0,27.0,0.0,38.0,2.0,3.0,14.0,9651.0
51.0,1.0,20.0,1.0,9077.0,130.0,10.0,25.0,1.0,3.0,56.0,26626.0
27.0,1.0,22.0,5.0,143.0,28.0,3.0,18.0,1.0,3.0,46.0,42362.0
31.0,1.0,14.0,5.0,3534.0,57.0,0.0,49.0,2.0,3.0,55.0,13622.0
55.0,1.0,18.0,1.0,508.0,9.0,6.0,48.0,2.0,3.0,56.0,61747.0
37.0,3.0,17.0,3.0,5423.0,97.0,0.0,39.0,1.0,3.0,1.0,22067.0
56.0,5.0,17.0,1.0,4016.0,4.0,17.0,36.0,2.0,3.0,2.0,18590.0
27.0,1.0,18.0,1.0,6201.0,90.0,0.0,38.0,1.0,3.0,21.0,57606.0
63.0,3.0,20.0,1.0,239.0,199.0,0.0,47.0,2.0,3.0,54.0,69288.0
35.0,3.0,18.0,1.0,432.0,83.0,0.0,31.0,1.0,3.0,44.0,14639.0
27.0,1.0,11.0,1.0,7580.0,74.0,0.0,38.0,2.0,3.0,38.0,61131.0
33.0,1.0,17.0,5.0,5074.0,15.0,0.0,46.0,1.0,3.0,48.0,43742.0
41.0,1.0,14.0,5.0,4977.0,49.0,0.0,28.0,1.0,3.0,28.0,56264.0
56.0,1.0,15.0,1.0,2906.0,27.0,0.0,44.0,1.0,3.0,9.0,12122.0
35.0,2.0,17.0,5.0,5483.0,4.0,3.0,60.0,2.0,3.0,54.0,36669.0
23.0,1.0,16.0,1.0,7991.0,10.0,0.0,42.0,2.0,3.0,55.0,12247.0
47.0,1.0,14.0,1.0,7912.0,5.0,17.0,39.0,1.0,3.0,11.0,25333.0
60.0,1.0,14.0,2.0,5342.0,50.0,0.0,35.0,2.0,3.0,25.0,103252.0
60.0,1.0,18.0,1.0,1240.0,67.0,0.0,44.0,2.0,3.0,48.0,144943.0
46.0,3.0,19.0,1.0,4859.0,9.0,1.0,44.0,1.0,3.0,47.0,66973.0
37.0,1.0,16.0,3.0,3364.0,170.0,5.0,19.0,1.0,3.0,52.0,12089.0
37.0,1.0,19.0,5.0,3452.0,94.0,0.0,59.0,1.0,3.0,9.0,76610.0
50.0,1.0,18.0,5.0,3965.0,13.0,0.0,21.0,1.0,3.0,15.0,29417.0
59.0,1.0,17.0,5.0,5636.0,45.0,1.0,45.0,1.0,3.0,34.0,20444.0
32.0,4.0,19.0,1.0,512.0,20.0,0.0,44.0,1.0,3.0,2.0,52303.0
42.0,5.0,19.0,4.0,9080.0,67.0,0.0,42.0,1.0,3.0,11.0,48991.0
29.0,1.0,18.0,5.0,7353.0,29.0,7.0,31.0,1.0,3.0,41.0,10969.0
41.0,1.0,14.0,5.0,2073.0,6.0,16.0,31.0,2.0,3.0,35.0,26787.0
18.0,3.0,19.0,2.0,1322.0,122.0,13.0,51.0,2.0,3.0,39.0,597.0
26.0,1.0,13.0,3.0,9617.0,32.0,11.0,31.0,1.0,3.0,56.0,17640.0
30.0,1.0,17.0,1.0,8020.0,13.0,11.0,27.0,1.0,3.0,2.0,1753.0
46.0,3.0,21.0,5.0,3800.0,9.0,16.0,36.0,1.0,3.0,53.0,19896.0
23.0,3.0,21.0,4.0,840.0,16.0,0.0,41.0,1.0,3.0,45.0,200844.0
62.0,1.0,19.0,5.0,3004.0,131.0,14.0,22.0,2.0,3.0,41.0,49328.0
39.0,1.0,21.0,3.0,154.0,79.0,0.0,51.0,1.0,3.0,23.0,84082.0
26.0,3.0,20.0,1.0,6071.0,16.0,0.0,46.0,1.0,3.0,51.0,2231.0
25.0,1.0,14.0,5.0,3501.0,5.0,3.0,51.0,2.0,3.0,5.0,3322.0
40.0,1.0,19.0,1.0,9688.0,18.0,5.0,10.0,2.0,3.0,34.0,18058.0
31.0,1.0,21.0,1.0,430.0,78.0,2.0,55.0,2.0,3.0,25.0,15376.0
34.0,4.0,18.0,1.0,5567.0,7.0,0.0,31.0,2.0,3.0,52.0,776.0
44.0,3.0,17.0,1.0,8751.0,51.0,15.0,41.0,1.0,3.0,54.0,9294.0
24.0,1.0,13.0,3.0,7017.0,5.0,1.0,28.0,2.0,3.0,14.0,11729.0
51.0,1.0,16.0,1.0,2765.0,9.0,0.0,33.0,2.0,3.0,31.0,16487.0
35.0,1.0,19.0,5.0,9315.0,43.0,14.0,60.0,1.0,3.0,16.0,14409.0
25.0,1.0,15.0,5.0,5116.0,9.0,17.0,31.0,1.0,3.0,51.0,33936.0
57.0,7.0,16.0,5.0,3722.0,5.0,0.0,49.0,1.0,3.0,37.0,30272.0
23.0,6.0,19.0,5.0,9246.0,33.0,0.0,26.0,1.0,3.0,19.0,1997.0
34.0,1.0,17.0,5.0,9647.0,16.0,0.0,46.0,1.0,3.0,54.0,108170.0
25.0,3.0,18.0,5.0,8034.0,8.0,0.0,27.0,1.0,3.0,13.0,3205.0
58.0,1.0,19.0,5.0,5618.0,14.0,5.0,36.0,2.0,3.0,44.0,60456.0
49.0,5.0,18.0,5.0,5975.0,41.0,0.0,49.0,1.0,3.0,20.0,97455.0
31.0,3.0,20.0,5.0,7791.0,12.0,0.0,38.0,2.0,3.0,52.0,8662.0
30.0,2.0,19.0,3.0,1071.0,97.0,8.0,30.0,1.0,3.0,54.0,34215.0
37.0,1.0,20.0,1.0,7924.0,7.0,0.0,51.0,1.0,3.0,20.0,110225.0
52.0,1.0,11.0,5.0,9457.0,60.0,0.0,48.0,2.0,3.0,36.0,21141.0
53.0,3.0,20.0,1.0,1280.0,44.0,0.0,54.0,1.0,3.0,7.0,220517.0
41.0,5.0,12.0,1.0,9105.0,51.0,0.0,41.0,2.0,3.0,18.0,15417.0
59.0,4.0,17.0,1.0,5111.0,56.0,0.0,62.0,1.0,3.0,31.0,42054.0
22.0,1.0,15.0,1.0,4772.0,141.0,15.0,39.0,1.0,3.0,46.0,18396.0
36.0,2.0,14.0,1.0,6412.0,110.0,0.0,26.0,2.0,3.0,33.0,2365.0
61.0,1.0,14.0,1.0,1546.0,4.0,0.0,59.0,2.0,3.0,3.0,142695.0
40.0,1.0,16.0,5.0,5133.0,7.0,9.0,50.0,2.0,3.0,23.0,76042.0
48.0,1.0,12.0,5.0,8439.0,47.0,0.0,35.0,2.0,3.0,36.0,14380.0
57.0,3.0,21.0,1.0,9467.0,95.0,2.0,40.0,2.0,3.0,33.0,5966.0
42.0,1.0,15.0,3.0,7259.0,76.0,1.0,75.0,1.0,3.0,51.0,114021.0
58.0,1.0,21.0,1.0,4967.0,23.0,0.0,33.0,1.0,3.0,27.0,37536.0
57.0,3.0,14.0,5.0,6006.0,6.0,0.0,21.0,1.0,3.0,28.0,30849.0
36.0,6.0,15.0,1.0,8052.0,21.0,16.0,50.0,1.0,3.0,45.0,39908.0
27.0,1.0,20.0,5.0,5435.0,191.0,13.0,29.0,1.0,3.0,41.0,6884.0
61.0,1.0,17.0,4.0,1449.0,8.0,0.0,38.0,2.0,3.0,44.0,47078.0
43.0,3.0,18.0,5.0,6468.0,88.0,0.0,30.0,2.0,3.0,23.0,88326.0
28.0,4.0,19.0,1.0,5096.0,68.0,0.0,57.0,2.0,3.0,52.0,113889.0
38.0,3.0,18.0,5.0,6234.0,41.0,0.0,43.0,1.0,3.0,37.0,48314.0
52.0,1.0,20.0,1.0,233.0,206.0,0.0,47.0,1.0,3.0,41.0,70490.0
19.0,5.0,22.0,5.0,5995.0,141.0,0.0,43.0,2.0,3.0,34.0,29169.0
40.0,6.0,21.0,5.0,731.0,108.0,3.0,29.0,2.0,3.0,3.0,38845.0
33.0,3.0,16.0,1.0,1121.0,125.0,0.0,36.0,1.0,3.0,11.0,5683.0
32.0,5.0,17.0,5.0,7239.0,5.0,0.0,43.0,1.0,3.0,14.0,65526.0
26.0,1.0,14.0,1.0,5245.0,42.0,17.0,48.0,2.0,3.0,34.0,33797.0
45.0,6.0,20.0,1.0,1475.0,47.0,0.0,26.0,1.0,3.0,31.0,2415.0
40.0,1.0,16.0,1.0,3133.0,165.0,0.0,61.0,1.0,3.0,41.0,65151.0
31.0,1.0,20.0,5.0,3378.0,133.0,0.0,57.0,1.0,3.0,55.0,57736.0
43.0,1.0,21.0,1.0,4624.0,130.0,0.0,47.0,1.0,3.0,14.0,19740.0
31.0,5.0,17.0,2.0,5333.0,165.0,0.0,46.0,1.0,3.0,49.0,3285.0
19.0,1.0,17.0,1.0,7829.0,43.0,1.0,41.0,1.0,3.0,20.0,20545.0
22.0,1.0,21.0,3.0,5141.0,37.0,0.0,41.0,1.0,3.0,41.0,8935.0
26.0,1.0,17.0,3.0,6274.0,54.0,0.0,32.0,1.0,3.0,56.0,87134.0
39.0,1.0,15.0,1.0,5844.0,6.0,0.0,34.0,2.0,3.0,34.0,44396.0
26.0,4.0,16.0,3.0,4795.0,4.0,0.0,31.0,1.0,3.0,17.0,9748.0
18.0,1.0,22.0,3.0,8767.0,4.0,14.0,36.0,1.0,3.0,1.0,4950.0
69.0,1.0,19.0,5.0,5746.0,20.0,0.0,50.0,2.0,3.0,48.0,75257.0
24.0,5.0,19.0,5.0,8169.0,41.0,14.0,31.0,1.0,3.0,41.0,98167.0
63.0,1.0,20.0,2.0,7847.0,24.0,0.0,31.0,1.0,3.0,15.0,27807.0
43.0,3.0,17.0,1.0,2994.0,59.0,0.0,68.0,1.0,3.0,18.0,72075.0
53.0,5.0,19.0,1.0,1625.0,10.0,0.0,21.0,2.0,3.0,13.0,20379.0
56.0,3.0,20.0,5.0,2971.0,26.0,2.0,34.0,1.0,3.0,49.0,46699.0
46.0,3.0,20.0,5.0,5531.0,4.0,0.0,46.0,1.0,3.0,3.0,58421.0
28.0,2.0,19.0,1.0,6529.0,10.0,8.0,25.0,1.0,3.0,36.0,66478.0
23.0,1.0,13.0,1.0,3570.0,6.0,17.0,20.0,2.0,3.0,17.0,6050.0
35.0,6.0,21.0,5.0,3751.0,10.0,0.0,65.0,1.0,3.0,2.0,105545.0
66.0,1.0,17.0,1.0,4295.0,226.0,0.0,64.0,2.0,3.0,42.0,140398.0
38.0,1.0,19.0,5.0,3105.0,127.0,0.0,21.0,2.0,3.0,53.0,9752.0
44.0,1.0,19.0,5.0,2282.0,9.0,0.0,32.0,1.0,3.0,4.0,11876.0
54.0,1.0,13.0,4.0,6212.0,4.0,0.0,62.0,2.0,3.0,6.0,138186.0
35.0,2.0,14.0,1.0,5806.0,110.0,14.0,15.0,2.0,3.0,44.0,6801.0
46.0,3.0,13.0,5.0,5712.0,4.0,0.0,67.0,1.0,3.0,35.0,57043.0
32.0,1.0,19.0,1.0,2029.0,24.0,1.0,51.0,1.0,3.0,55.0,37138.0
35.0,1.0,21.0,1.0,2813.0,9.0,0.0,65.0,1.0,3.0,12.0,117783.0
48.0,2.0,16.0,1.0,1125.0,48.0,5.0,13.0,1.0,3.0,25.0,38169.0
71.0,4.0,21.0,1.0,4447.0,129.0,0.0,28.0,1.0,3.0,41.0,31336.0
66.0,3.0,20.0,5.0,6810.0,135.0,1.0,40.0,2.0,3.0,41.0,81713.0
41.0,5.0,21.0,5.0,2672.0,7.0,0.0,23.0,2.0,3.0,52.0,10881.0
45.0,1.0,19.0,5.0,4726.0,4.0,0.0,41.0,1.0,3.0,7.0,81140.0
66.0,1.0,20.0,5.0,5283.0,9.0,0.0,44.0,2.0,3.0,46.0,43021.0
41.0,1.0,16.0,3.0,4669.0,50.0,0.0,25.0,2.0,3.0,2.0,16865.0
39.0,1.0,19.0,3.0,9810.0,7.0,0.0,37.0,1.0,3.0,4.0,11244.0
32.0,1.0,19.0,4.0,5296.0,187.0,2.0,66.0,2.0,3.0,55.0,61682.0
65.0,4.0,17.0,5.0,8423.0,5.0,1.0,32.0,2.0,3.0,37.0,55771.0
44.0,3.0,18.0,5.0,5808.0,5.0,3.0,48.0,2.0,3.0,13.0,45784.0
60.0,2.0,16.0,1.0,5953.0,223.0,1.0,27.0,1.0,3.0,56.0,24771.0
49.0,1.0,18.0,5.0,6492.0,51.0,0.0,38.0,1.0,3.0,9.0,76740.0
20.0,1.0,19.0,5.0,8242.0,5.0,5.0,15.0,1.0,3.0,4.0,2305.0
23.0,5.0,17.0,1.0,6524.0,194.0,2.0,50.0,1.0,3.0,49.0,103753.0
42.0,1.0,14.0,4.0,5512.0,121.0,6.0,30.0,2.0,3.0,55.0,35264.0
49.0,1.0,17.0,5.0,4330.0,42.0,0.0,47.0,2.0,3.0,21.0,43092.0
33.0,1.0,19.0,1.0,4150.0,4.0,1.0,38.0,1.0,3.0,2.0,38743.0
32.0,1.0,17.0,5.0,8051.0,20.0,2.0,44.0,2.0,3.0,9.0,29409.0
49.0,1.0,20.0,3.0,5276.0,4.0,0.0,42.0,2.0,3.0,15.0,60339.0
75.0,1.0,20.0,5.0,2958.0,5.0,0.0,34.0,2.0,3.0,46.0,56501.0
32.0,1.0,18.0,5.0,6822.0,83.0,0.0,20.0,1.0,3.0,20.0,26447.0
31.0,3.0,18.0,2.0,3696.0,4.0,0.0,37.0,1.0,3.0,2.0,47385.0
23.0,2.0,20.0,3.0,2956.0,26.0,0.0,14.0,2.0,3.0,47.0,15211.0
33.0,2.0,18.0,1.0,9478.0,51.0,5.0,20.0,1.0,3.0,35.0,12509.0
31.0,6.0,15.0,1.0,42.0,100.0,0.0,50.0,1.0,3.0,50.0,16484.0
51.0,1.0,9.0,5.0,5590.0,6.0,3.0,33.0,2.0,3.0,4.0,7588.0
26.0,1.0,13.0,3.0,5474.0,5.0,12.0,43.0,1.0,3.0,38.0,28320.0
39.0,1.0,17.0,1.0,1882.0,15.0,0.0,32.0,2.0,3.0,28.0,72963.0
24.0,1.0,19.0,5.0,8311.0,21.0,0.0,40.0,1.0,3.0,24.0,15750.0
45.0,1.0,17.0,1.0,6305.0,139.0,0.0,28.0,2.0,3.0,53.0,51074.0
47.0,1.0,18.0,3.0,2525.0,13.0,0.0,60.0,2.0,3.0,16.0,44961.0
29.0,1.0,20.0,5.0,1520.0,7.0,0.0,40.0,2.0,3.0,20.0,49622.0
23.0,3.0,16.0,1.0,5399.0,48.0,8.0,37.0,1.0,3.0,2.0,5961.0
24.0,1.0,19.0,2.0,8848.0,25.0,3.0,29.0,1.0,3.0,54.0,11015.0
45.0,1.0,21.0,3.0,7678.0,4.0,5.0,44.0,1.0,3.0,10.0,34980.0
36.0,2.0,15.0,1.0,5904.0,113.0,0.0,31.0,2.0,3.0,41.0,59379.0
26.0,1.0,18.0,5.0,738.0,9.0,0.0,41.0,2.0,3.0,10.0,7151.0
20.0,1.0,18.0,3.0,1037.0,28.0,14.0,58.0,1.0,3.0,14.0,10401.0
47.0,1.0,19.0,4.0,5446.0,87.0,0.0,63.0,1.0,3.0,19.0,37525.0
40.0,3.0,18.0,2.0,5030.0,4.0,0.0,59.0,2.0,3.0,18.0,84003.0
50.0,4.0,21.0,5.0,2473.0,148.0,0.0,58.0,1.0,3.0,51.0,55212.0
45.0,1.0,14.0,1.0,9112.0,7.0,1.0,47.0,1.0,3.0,4.0,38033.0
72.0,1.0,17.0,1.0,2547.0,43.0,0.0,45.0,2.0,3.0,56.0,36813.0
26.0,4.0,16.0,1.0,1875.0,56.0,0.0,50.0,1.0,3.0,50.0,28561.0
36.0,1.0,19.0,5.0,5082.0,4.0,0.0,32.0,1.0,3.0,7.0,36649.0
39.0,1.0,18.0,5.0,2667.0,29.0,15.0,34.0,1.0,3.0,46.0,6467.0
30.0,1.0,22.0,1.0,7790.0,19.0,0.0,53.0,1.0,3.0,14.0,28875.0
32.0,1.0,19.0,2.0,1590.0,132.0,8.0,23.0,2.0,3.0,52.0,3307.0
43.0,1.0,15.0,3.0,1878.0,53.0,0.0,34.0,2.0,3.0,11.0,29635.0
23.0,1.0,19.0,1.0,4764.0,4.0,16.0,56.0,1.0,3.0,19.0,247635.0
40.0,1.0,19.0,5.0,1903.0,111.0,7.0,41.0,1.0,3.0,53.0,121852.0
30.0,6.0,20.0,4.0,3668.0,31.0,0.0,51.0,1.0,3.0,19.0,61474.0
53.0,6.0,16.0,2.0,1075.0,6.0,0.0,41.0,1.0,3.0,13.0,30820.0
47.0,1.0,19.0,5.0,246.0,4.0,0.0,34.0,2.0,3.0,11.0,65933.0
60.0,3.0,10.0,5.0,5630.0,46.0,0.0,38.0,2.0,3.0,55.0,11234.0
58.0,4.0,20.0,5.0,1848.0,28.0,4.0,28.0,2.0,3.0,2.0,9096.0
55.0,5.0,21.0,2.0,728.0,60.0,5.0,35.0,2.0,3.0,53.0,86861.0
32.0,1.0,17.0,2.0,2288.0,5.0,0.0,28.0,1.0,3.0,34.0,31382.0
63.0,4.0,20.0,3.0,2768.0,4.0,0.0,42.0,2.0,3.0,4.0,53345.0
40.0,3.0,19.0,1.0,2433.0,22.0,0.0,46.0,2.0,3.0,42.0,32362.0
48.0,1.0,18.0,5.0,14.0,77.0,0.0,37.0,2.0,3.0,39.0,33324.0
31.0,2.0,18.0,5.0,7417.0,21.0,13.0,34.0,2.0,3.0,41.0,10432.0
41.0,1.0,19.0,1.0,82.0,227.0,1.0,30.0,1.0,3.0,53.0,63620.0
48.0,1.0,16.0,3.0,9445.0,4.0,0.0,13.0,1.0,3.0,3.0,1758.0
58.0,3.0,20.0,5.0,3634.0,10.0,0.0,16.0,2.0,3.0,39.0,11637.0
59.0,7.0,18.0,3.0,8078.0,160.0,2.0,25.0,2.0,3.0,56.0,2069.0
53.0,5.0,15.0,5.0,1243.0,34.0,0.0,49.0,2.0,3.0,30.0,21349.0
24.0,1.0,21.0,3.0,6621.0,68.0,0.0,50.0,2.0,3.0,46.0,66358.0
50.0,1.0,19.0,1.0,4376.0,10.0,0.0,29.0,2.0,3.0,2.0,1832.0
45.0,3.0,20.0,3.0,2990.0,75.0,0.0,19.0,1.0,3.0,52.0,2729.0
63.0,1.0,14.0,1.0,6261.0,35.0,0.0,35.0,2.0,3.0,21.0,44397.0
25.0,3.0,20.0,5.0,6786.0,58.0,12.0,63.0,1.0,3.0,55.0,34485.0
39.0,1.0,17.0,5.0,556.0,110.0,0.0,29.0,1.0,3.0,6.0,24185.0
36.0,3.0,14.0,3.0,7443.0,21.0,5.0,16.0,2.0,3.0,47.0,4816.0
43.0,1.0,17.0,1.0,8327.0,57.0,2.0,34.0,2.0,3.0,54.0,13935.0
27.0,6.0,17.0,1.0,1320.0,26.0,1.0,51.0,1.0,3.0,55.0,30056.0
22.0,1.0,17.0,3.0,4607.0,17.0,0.0,25.0,2.0,3.0,27.0,11391.0
44.0,1.0,20.0,5.0,6070.0,5.0,0.0,50.0,1.0,3.0,7.0,86303.0
21.0,1.0,21.0,1.0,4145.0,31.0,0.0,48.0,1.0,3.0,55.0,39844.0
48.0,6.0,19.0,5.0,6633.0,308.0,0.0,24.0,2.0,3.0,41.0,70307.0
37.0,5.0,21.0,5.0,3585.0,175.0,0.0,51.0,1.0,3.0,47.0,17549.0
46.0,1.0,20.0,1.0,3829.0,208.0,1.0,32.0,2.0,3.0,56.0,16114.0
49.0,4.0,16.0,3.0,8302.0,160.0,0.0,34.0,1.0,3.0,6.0,28072.0
