,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,ST,PINCP
121,35.0,1.0,21.0,3.0,4936.0,34.0,0.0,42.0,1.0,16.0,52742.0
122,75.0,2.0,22.0,1.0,3744.0,39.0,0.0,72.0,1.0,26.0,55260.0
123,52.0,3.0,15.0,3.0,5422.0,51.0,0.0,74.0,1.0,2.0,62896.0
124,75.0,1.0,21.0,5.0,7782.0,50.0,0.0,14.0,2.0,19.0,75928.0
125,27.0,1.0,21.0,4.0,4925.0,55.0,0.0,42.0,2.0,20.0,76085.0
126,67.0,3.0,17.0,5.0,933.0,2.0,0.0,58.0,2.0,25.0,107168.0
127,36.0,1.0,17.0,3.0,2067.0,65.0,0.0,42.0,1.0,20.0,34464.0
128,36.0,1.0,15.0,3.0,3177.0,32.0,0.0,41.0,2.0,16.0,47803.0
129,32.0,7.0,21.0,1.0,3379.0,52.0,8.0,34.0,2.0,2.0,27711.0
130,64.0,5.0,24.0,1.0,2284.0,65.0,1.0,35.0,1.0,34.0,54330.0
131,48.0,2.0,19.0,3.0,7564.0,46.0,0.0,66.0,2.0,23.0,104144.0
132,37.0,2.0,21.0,1.0,466.0,29.0,3.0,43.0,2.0,16.0,12584.0
133,62.0,1.0,17.0,3.0,3000.0,67.0,1.0,79.0,2.0,12.0,50351.0
134,52.0,1.0,21.0,1.0,7262.0,22.0,0.0,42.0,1.0,25.0,63035.0
135,29.0,1.0,16.0,5.0,10.0,17.0,1.0,31.0,2.0,9.0,57365.0
136,40.0,7.0,16.0,1.0,8118.0,37.0,0.0,42.0,2.0,42.0,40379.0
137,33.0,1.0,17.0,1.0,5192.0,51.0,0.0,40.0,1.0,31.0,56124.0
138,59.0,1.0,16.0,4.0,6043.0,45.0,3.0,41.0,1.0,18.0,10088.0
139,50.0,3.0,24.0,3.0,6944.0,43.0,1.0,84.0,2.0,8.0,22417.0
140,46.0,1.0,22.0,5.0,5913.0,36.0,0.0,71.0,2.0,20.0,52990.0
141,74.0,1.0,22.0,5.0,7477.0,59.0,2.0,33.0,2.0,36.0,128026.0
142,48.0,7.0,22.0,1.0,4615.0,58.0,15.0,73.0,1.0,31.0,41821.0
143,51.0,1.0,19.0,1.0,7548.0,33.0,10.0,47.0,2.0,33.0,498000.0
144,52.0,1.0,19.0,5.0,10.0,43.0,0.0,12.0,2.0,15.0,30725.0
145,55.0,1.0,20.0,1.0,5424.0,47.0,4.0,84.0,1.0,17.0,10881.0
146,29.0,3.0,16.0,3.0,4213.0,33.0,0.0,68.0,2.0,2.0,27244.0
147,58.0,1.0,17.0,5.0,4958.0,52.0,0.0,29.0,2.0,19.0,53432.0
148,49.0,1.0,24.0,4.0,5338.0,33.0,15.0,79.0,1.0,2.0,7224.0
149,25.0,1.0,18.0,1.0,5033.0,62.0,1.0,42.0,1.0,20.0,34863.0
150,36.0,2.0,22.0,3.0,3159.0,49.0,2.0,43.0,2.0,2.0,28076.0
151,47.0,1.0,16.0,1.0,6869.0,60.0,1.0,42.0,2.0,31.0,68701.0
152,33.0,3.0,21.0,1.0,6724.0,16.0,2.0,41.0,2.0,28.0,24866.0
153,44.0,1.0,24.0,1.0,1123.0,36.0,0.0,42.0,1.0,16.0,400.0
154,37.0,3.0,18.0,1.0,4764.0,65.0,0.0,42.0,2.0,30.0,34662.0
155,65.0,1.0,21.0,3.0,6790.0,54.0,1.0,30.0,1.0,27.0,21499.0
156,35.0,5.0,17.0,1.0,5106.0,12.0,1.0,40.0,2.0,19.0,57710.0
157,28.0,7.0,20.0,5.0,6633.0,39.0,0.0,56.0,2.0,38.0,400.0
158,37.0,5.0,23.0,5.0,5870.0,60.0,1.0,21.0,2.0,4.0,30835.0
159,27.0,3.0,19.0,1.0,3190.0,28.0,0.0,42.0,1.0,37.0,153385.0
160,51.0,2.0,15.0,1.0,5355.0,28.0,1.0,42.0,2.0,2.0,36908.0
161,63.0,1.0,19.0,5.0,5811.0,63.0,1.0,42.0,2.0,14.0,20371.0
162,45.0,1.0,20.0,1.0,7970.0,68.0,1.0,41.0,2.0,31.0,69744.0
163,35.0,1.0,16.0,1.0,5675.0,28.0,0.0,68.0,2.0,27.0,13326.0
164,75.0,1.0,20.0,5.0,5119.0,20.0,0.0,30.0,1.0,20.0,25679.0
165,58.0,1.0,17.0,4.0,2632.0,58.0,1.0,84.0,2.0,6.0,44762.0
166,45.0,4.0,18.0,3.0,2045.0,36.0,0.0,36.0,1.0,43.0,68713.0
167,68.0,4.0,18.0,5.0,3951.0,42.0,0.0,42.0,1.0,16.0,40568.0
168,45.0,1.0,17.0,3.0,5278.0,5.0,0.0,37.0,1.0,32.0,44212.0
169,34.0,6.0,17.0,1.0,4542.0,49.0,1.0,40.0,2.0,20.0,34173.0
170,44.0,3.0,18.0,3.0,2609.0,56.0,17.0,42.0,1.0,2.0,40263.0
171,57.0,1.0,16.0,1.0,6565.0,42.0,15.0,41.0,1.0,2.0,60605.0
172,36.0,1.0,16.0,3.0,6650.0,30.0,1.0,52.0,1.0,6.0,18368.0
173,43.0,1.0,22.0,3.0,4100.0,50.0,1.0,67.0,1.0,21.0,53621.0
174,46.0,4.0,16.0,5.0,10.0,44.0,0.0,19.0,2.0,16.0,53317.0
175,30.0,1.0,17.0,4.0,5437.0,12.0,0.0,83.0,1.0,2.0,29895.0
176,31.0,5.0,15.0,3.0,5059.0,2.0,1.0,43.0,1.0,53.0,355867.0
177,57.0,1.0,17.0,1.0,6879.0,365.0,0.0,31.0,2.0,33.0,50651.0
178,20.0,1.0,14.0,1.0,4246.0,23.0,1.0,42.0,2.0,31.0,44486.0
179,38.0,7.0,20.0,5.0,6597.0,63.0,17.0,39.0,2.0,10.0,167670.0
180,50.0,5.0,17.0,5.0,4456.0,27.0,0.0,62.0,2.0,18.0,46040.0
181,68.0,5.0,19.0,1.0,2433.0,56.0,1.0,60.0,2.0,23.0,498000.0
182,29.0,1.0,16.0,1.0,2493.0,51.0,4.0,43.0,1.0,26.0,8471.0
183,53.0,3.0,22.0,1.0,5998.0,50.0,8.0,51.0,1.0,2.0,400.0
184,45.0,5.0,19.0,5.0,3632.0,55.0,0.0,52.0,2.0,35.0,76077.0
185,51.0,1.0,19.0,3.0,4161.0,32.0,17.0,43.0,1.0,2.0,38521.0
186,64.0,6.0,18.0,1.0,10.0,43.0,1.0,41.0,2.0,22.0,59906.0
187,74.0,1.0,19.0,5.0,866.0,25.0,1.0,42.0,1.0,22.0,39674.0
188,75.0,3.0,22.0,4.0,3295.0,5.0,9.0,84.0,1.0,27.0,19698.0
189,47.0,5.0,16.0,1.0,6601.0,62.0,0.0,59.0,1.0,56.0,400.0
190,48.0,1.0,19.0,3.0,5187.0,34.0,16.0,51.0,2.0,18.0,137574.0
191,43.0,1.0,24.0,1.0,7957.0,40.0,1.0,68.0,2.0,29.0,181483.0
192,54.0,1.0,20.0,3.0,4702.0,30.0,17.0,45.0,2.0,10.0,34211.0
193,71.0,1.0,17.0,1.0,5360.0,37.0,2.0,52.0,1.0,12.0,56628.0
194,58.0,1.0,20.0,1.0,5376.0,23.0,0.0,55.0,1.0,2.0,32612.0
195,58.0,1.0,19.0,1.0,5613.0,31.0,0.0,80.0,1.0,2.0,32470.0
196,69.0,6.0,21.0,3.0,4672.0,66.0,0.0,41.0,1.0,15.0,19216.0
197,63.0,1.0,23.0,5.0,8960.0,48.0,1.0,71.0,2.0,24.0,42833.0
198,50.0,1.0,22.0,1.0,6562.0,49.0,0.0,42.0,2.0,2.0,25325.0
199,63.0,4.0,21.0,1.0,4853.0,59.0,1.0,21.0,1.0,18.0,147789.0
200,46.0,4.0,19.0,3.0,6949.0,62.0,0.0,66.0,1.0,24.0,400.0
201,60.0,4.0,17.0,3.0,6384.0,33.0,1.0,41.0,1.0,27.0,22538.0
202,75.0,1.0,20.0,1.0,7318.0,35.0,0.0,40.0,2.0,15.0,9152.0
203,36.0,1.0,16.0,3.0,4053.0,70.0,0.0,71.0,1.0,6.0,39080.0
204,57.0,1.0,16.0,3.0,5317.0,42.0,8.0,41.0,2.0,11.0,383584.0
205,35.0,3.0,20.0,5.0,5339.0,22.0,0.0,50.0,2.0,18.0,26444.0
206,24.0,1.0,15.0,5.0,9380.0,44.0,0.0,32.0,2.0,21.0,105265.0
207,75.0,1.0,20.0,1.0,4380.0,55.0,1.0,77.0,2.0,12.0,57882.0
208,20.0,3.0,16.0,3.0,4700.0,38.0,0.0,75.0,1.0,22.0,12683.0
209,70.0,1.0,21.0,1.0,1816.0,63.0,1.0,53.0,2.0,21.0,117683.0
210,57.0,1.0,21.0,1.0,10.0,32.0,2.0,43.0,2.0,31.0,15397.0
211,72.0,1.0,16.0,3.0,4549.0,41.0,0.0,78.0,1.0,2.0,93092.0
212,31.0,3.0,15.0,1.0,6824.0,48.0,9.0,41.0,1.0,42.0,72693.0
213,48.0,1.0,16.0,1.0,4282.0,41.0,0.0,40.0,1.0,25.0,47062.0
214,28.0,1.0,17.0,1.0,3297.0,36.0,15.0,61.0,2.0,33.0,498000.0
215,36.0,4.0,24.0,5.0,7607.0,17.0,2.0,68.0,1.0,46.0,13286.0
216,58.0,3.0,19.0,5.0,4429.0,38.0,0.0,42.0,2.0,33.0,21941.0
217,27.0,7.0,19.0,3.0,4406.0,60.0,2.0,70.0,2.0,21.0,53356.0
218,38.0,6.0,17.0,5.0,6290.0,2.0,0.0,49.0,2.0,28.0,31245.0
219,37.0,1.0,22.0,5.0,6198.0,21.0,0.0,84.0,1.0,16.0,75566.0
220,34.0,2.0,21.0,2.0,5747.0,54.0,0.0,51.0,2.0,20.0,3762.0
221,75.0,1.0,22.0,1.0,5815.0,61.0,2.0,45.0,2.0,8.0,49256.0
222,71.0,1.0,20.0,1.0,8067.0,37.0,0.0,42.0,1.0,5.0,400.0
223,42.0,1.0,20.0,4.0,5271.0,58.0,3.0,47.0,2.0,11.0,35996.0
224,41.0,1.0,19.0,1.0,10.0,59.0,2.0,71.0,1.0,13.0,44322.0
225,75.0,5.0,19.0,1.0,6761.0,28.0,1.0,41.0,2.0,35.0,498000.0
226,52.0,1.0,20.0,3.0,2457.0,31.0,0.0,41.0,2.0,32.0,15946.0
227,34.0,1.0,23.0,2.0,3564.0,20.0,10.0,62.0,1.0,35.0,36260.0
228,22.0,2.0,20.0,1.0,4410.0,70.0,1.0,42.0,1.0,42.0,400.0
229,30.0,3.0,19.0,1.0,4792.0,33.0,0.0,42.0,1.0,28.0,21316.0
230,24.0,1.0,18.0,4.0,7176.0,55.0,8.0,74.0,1.0,29.0,26148.0
231,39.0,2.0,17.0,2.0,4957.0,21.0,16.0,42.0,2.0,37.0,48483.0
232,38.0,1.0,22.0,5.0,6402.0,35.0,1.0,81.0,2.0,12.0,38919.0
233,32.0,1.0,19.0,4.0,2607.0,32.0,0.0,57.0,2.0,27.0,51794.0
234,64.0,1.0,22.0,1.0,2250.0,2.0,0.0,65.0,2.0,19.0,8770.0
235,43.0,7.0,23.0,1.0,3077.0,54.0,0.0,41.0,1.0,19.0,50715.0
236,19.0,1.0,17.0,1.0,4295.0,56.0,1.0,67.0,2.0,21.0,49019.0
237,75.0,4.0,16.0,5.0,2244.0,51.0,1.0,29.0,1.0,12.0,79797.0
238,61.0,4.0,23.0,1.0,3245.0,58.0,7.0,58.0,2.0,19.0,52267.0
239,31.0,1.0,20.0,1.0,4912.0,27.0,3.0,27.0,1.0,2.0,17336.0
240,34.0,1.0,17.0,3.0,6292.0,48.0,0.0,67.0,1.0,17.0,49540.0
241,32.0,1.0,19.0,2.0,2935.0,57.0,0.0,60.0,2.0,28.0,360368.0
242,39.0,1.0,19.0,3.0,4201.0,35.0,0.0,1.0,2.0,32.0,32112.0
243,38.0,3.0,19.0,3.0,4433.0,47.0,2.0,42.0,1.0,38.0,400.0
244,50.0,1.0,18.0,5.0,7700.0,54.0,7.0,40.0,2.0,29.0,54152.0
245,34.0,1.0,21.0,1.0,6641.0,49.0,13.0,52.0,2.0,32.0,34222.0
246,44.0,3.0,23.0,1.0,4585.0,56.0,0.0,51.0,1.0,17.0,21103.0
247,51.0,3.0,21.0,1.0,6424.0,67.0,0.0,84.0,2.0,18.0,67901.0
248,36.0,5.0,18.0,1.0,4351.0,54.0,2.0,71.0,1.0,31.0,50099.0
249,27.0,1.0,20.0,4.0,3235.0,53.0,1.0,46.0,2.0,20.0,38270.0
250,18.0,2.0,20.0,1.0,7160.0,53.0,0.0,76.0,2.0,14.0,278340.0
251,47.0,6.0,17.0,1.0,6504.0,57.0,0.0,83.0,1.0,10.0,53688.0
252,31.0,4.0,15.0,5.0,3600.0,19.0,1.0,82.0,2.0,14.0,159334.0
253,33.0,2.0,19.0,3.0,3629.0,41.0,0.0,48.0,1.0,2.0,40723.0
254,75.0,2.0,21.0,1.0,3137.0,59.0,4.0,41.0,2.0,21.0,31361.0
255,37.0,1.0,16.0,5.0,9777.0,45.0,1.0,59.0,2.0,2.0,136636.0
256,58.0,6.0,23.0,1.0,6659.0,53.0,1.0,84.0,1.0,2.0,27855.0
257,43.0,6.0,20.0,3.0,3600.0,37.0,2.0,46.0,2.0,34.0,20697.0
258,56.0,1.0,17.0,1.0,5876.0,51.0,0.0,67.0,1.0,43.0,40386.0
259,75.0,3.0,21.0,1.0,5897.0,55.0,1.0,42.0,1.0,27.0,491182.0
260,56.0,3.0,16.0,3.0,2154.0,40.0,17.0,42.0,2.0,2.0,28093.0
261,55.0,1.0,20.0,5.0,2846.0,46.0,1.0,42.0,2.0,2.0,65221.0
262,42.0,1.0,21.0,3.0,1029.0,34.0,0.0,79.0,1.0,27.0,143761.0
263,25.0,1.0,17.0,1.0,5346.0,49.0,2.0,43.0,2.0,32.0,93451.0
264,43.0,3.0,19.0,1.0,6253.0,37.0,0.0,49.0,1.0,16.0,89856.0
265,75.0,1.0,19.0,4.0,5978.0,31.0,1.0,39.0,1.0,33.0,117719.0
266,29.0,3.0,21.0,4.0,889.0,44.0,0.0,69.0,1.0,33.0,34497.0
267,45.0,7.0,16.0,1.0,2252.0,48.0,1.0,41.0,1.0,24.0,46485.0
268,51.0,1.0,23.0,1.0,4247.0,39.0,1.0,56.0,1.0,33.0,4699.0
269,68.0,1.0,21.0,1.0,4490.0,55.0,0.0,33.0,1.0,13.0,172376.0
270,38.0,5.0,16.0,5.0,3717.0,20.0,1.0,50.0,2.0,15.0,19464.0
271,75.0,5.0,18.0,5.0,6533.0,48.0,11.0,29.0,1.0,8.0,33811.0
272,42.0,1.0,18.0,4.0,8957.0,22.0,0.0,39.0,1.0,19.0,60003.0
273,32.0,5.0,20.0,2.0,6834.0,56.0,0.0,57.0,2.0,42.0,62494.0
274,65.0,1.0,21.0,1.0,1740.0,19.0,0.0,52.0,1.0,43.0,31404.0
275,51.0,1.0,21.0,5.0,9810.0,34.0,0.0,55.0,2.0,21.0,89440.0
276,26.0,1.0,18.0,5.0,6087.0,49.0,0.0,49.0,2.0,2.0,135339.0
277,40.0,1.0,22.0,3.0,7330.0,8.0,0.0,53.0,2.0,37.0,14092.0
278,41.0,1.0,19.0,4.0,7909.0,63.0,1.0,42.0,2.0,37.0,97817.0
279,57.0,5.0,19.0,5.0,6358.0,53.0,0.0,42.0,2.0,17.0,15869.0
280,54.0,1.0,22.0,1.0,6442.0,61.0,0.0,71.0,1.0,3.0,10338.0
281,22.0,1.0,16.0,1.0,7225.0,24.0,1.0,38.0,2.0,35.0,19281.0
282,49.0,1.0,21.0,1.0,7965.0,30.0,0.0,84.0,1.0,16.0,93246.0
283,35.0,5.0,22.0,3.0,7080.0,59.0,1.0,41.0,1.0,19.0,38187.0
284,31.0,5.0,16.0,1.0,1201.0,36.0,0.0,46.0,1.0,49.0,52427.0
285,37.0,1.0,19.0,5.0,5102.0,45.0,2.0,54.0,2.0,23.0,15540.0
286,50.0,4.0,20.0,2.0,9810.0,42.0,0.0,84.0,1.0,23.0,71130.0
287,42.0,1.0,19.0,1.0,3474.0,33.0,2.0,84.0,1.0,18.0,32794.0
288,29.0,1.0,21.0,1.0,4150.0,65.0,0.0,42.0,2.0,2.0,62926.0
289,75.0,6.0,19.0,1.0,4935.0,62.0,1.0,41.0,1.0,2.0,400.0
